,Stn,Datum,Tijd,F,qF
693,78989,18990129,22.0,12,0
694,78989,18990129,23.0,12,0
695,78989,18990129,24.0,13,0
696,78989,18990130,1.0,12,0
697,78989,18990130,2.0,13,0
698,78989,18990130,3.0,12,0
699,78989,18990130,4.0,10,0
700,78989,18990130,5.0,10,0
701,78989,18990130,6.0,9,0
702,78989,18990130,7.0,8,0
703,78989,18990130,8.0,12,0
704,78989,18990130,9.0,13,0
705,78989,18990130,10.0,15,0
706,78989,18990130,11.0,16,0
707,78989,18990130,12.0,15,0
708,78989,18990130,13.0,15,0
709,78989,18990130,14.0,16,0
710,78989,18990130,15.0,18,0
711,78989,18990130,16.0,17,0
712,78989,18990130,17.0,14,0
713,78989,18990130,18.0,14,0
714,78989,18990130,19.0,14,0
715,78989,18990130,20.0,12,0
716,78989,18990130,21.0,10,0
717,78989,18990130,22.0,12,0
718,78989,18990130,23.0,12,0
719,78989,18990130,24.0,12,0
720,78989,18990131,1.0,12,0
721,78989,18990131,2.0,12,0
722,78989,18990131,3.0,12,0
723,78989,18990131,4.0,13,0
724,78989,18990131,5.0,12,0
725,78989,18990131,6.0,13,0
726,78989,18990131,7.0,14,0
727,78989,18990131,8.0,14,0
728,78989,18990131,9.0,18,0
729,78989,18990131,10.0,19,0
730,78989,18990131,11.0,18,0
731,78989,18990131,12.0,17,0
732,78989,18990131,13.0,16,0
733,78989,18990131,14.0,15,0
734,78989,18990131,15.0,15,0
735,78989,18990131,16.0,17,0
736,78989,18990131,17.0,16,0
737,78989,18990131,18.0,15,0
738,78989,18990131,19.0,13,0
739,78989,18990131,20.0,14,0
740,78989,18990131,21.0,14,0
741,78989,18990131,22.0,14,0
742,78989,18990131,23.0,15,0
743,78989,18990131,24.0,14,0
744,78989,18990201,1.0,14,0
745,78989,18990201,2.0,13,0
746,78989,18990201,3.0,14,0
747,78989,18990201,4.0,12,0
748,78989,18990201,5.0,12,0
749,78989,18990201,6.0,9,0
750,78989,18990201,7.0,11,0
751,78989,18990201,8.0,13,0
752,78989,18990201,9.0,16,0
753,78989,18990201,10.0,16,0
754,78989,18990201,11.0,15,0
755,78989,18990201,12.0,16,0
756,78989,18990201,13.0,16,0
757,78989,18990201,14.0,16,0
758,78989,18990201,15.0,16,0
759,78989,18990201,16.0,14,0
760,78989,18990201,17.0,16,0
761,78989,18990201,18.0,13,0
762,78989,18990201,19.0,11,0
763,78989,18990201,20.0,11,0
764,78989,18990201,21.0,9,0
765,78989,18990201,22.0,10,0
766,78989,18990201,23.0,9,0
767,78989,18990201,24.0,10,0
768,78989,18990202,1.0,12,0
769,78989,18990202,2.0,13,0
770,78989,18990202,3.0,13,0
771,78989,18990202,4.0,10,0
772,78989,18990202,5.0,11,0
773,78989,18990202,6.0,12,0
774,78989,18990202,7.0,12,0
775,78989,18990202,8.0,13,0
776,78989,18990202,9.0,15,0
777,78989,18990202,10.0,16,0
778,78989,18990202,11.0,16,0
779,78989,18990202,12.0,16,0
780,78989,18990202,13.0,15,0
781,78989,18990202,14.0,14,0
782,78989,18990202,15.0,15,0
783,78989,18990202,16.0,17,0
784,78989,18990202,17.0,15,0
785,78989,18990202,18.0,11,0
786,78989,18990202,19.0,11,0
787,78989,18990202,20.0,10,0
788,78989,18990202,21.0,12,0
789,78989,18990202,22.0,12,0
790,78989,18990202,23.0,12,0
791,78989,18990202,24.0,12,0
792,78989,18990203,1.0,13,0
793,78989,18990203,2.0,11,0
794,78989,18990203,3.0,9,0
795,78989,18990203,4.0,10,0
796,78989,18990203,5.0,13,0
797,78989,18990203,6.0,12,0
798,78989,18990203,7.0,12,0
799,78989,18990203,8.0,15,0
800,78989,18990203,9.0,15,0
801,78989,18990203,10.0,17,0
802,78989,18990203,11.0,16,0
803,78989,18990203,12.0,17,0
804,78989,18990203,13.0,18,0
805,78989,18990203,14.0,18,0
806,78989,18990203,15.0,15,0
807,78989,18990203,16.0,14,0
808,78989,18990203,17.0,15,0
809,78989,18990203,18.0,12,0
810,78989,18990203,19.0,12,0
811,78989,18990203,20.0,10,0
812,78989,18990203,21.0,10,0
813,78989,18990203,22.0,12,0
814,78989,18990203,23.0,10,0
815,78989,18990203,24.0,9,0
