,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
69,19550309.0,109.0,104.0,96.0,241.0,268.0,241.0,267.0,235.0,212.0,210.0,204.0,95.0,80.0,91.0,Calm,0.0,NE,2.0,NE,2.0,10.0,10.0,10.0,165.0,,
70,19550310.0,110.0,100.0,86.0,239.0,278.0,263.0,277.0,228.0,204.0,202.0,206.0,92.0,73.0,81.0,E,2.0,NE,2.0,NE,2.0,10.0,9.0,9.0,65.0,,
71,19550311.0,98.0,88.0,78.0,242.0,275.0,254.0,284.0,236.0,200.0,206.0,213.0,89.0,76.0,89.0,Calm,0.0,NE,3.0,NE,1.0,9.0,9.0,10.0,34.0,,
72,19550312.0,93.0,89.0,78.0,239.0,248.0,245.0,284.0,228.0,207.0,217.0,211.0,94.0,93.0,92.0,Calm,0.0,Calm,0.0,NE,2.0,10.0,10.0,10.0,133.0,,
73,19550313.0,105.0,94.0,85.0,236.0,265.0,240.0,260.0,227.0,209.0,222.0,212.0,96.0,86.0,96.0,Calm,0.0,Calm,0.0,Calm,0.0,10.0,9.0,10.0,524.0,,
74,19550314.0,108.0,101.0,94.0,241.0,259.0,253.0,282.0,233.0,204.0,216.0,197.0,91.0,87.0,82.0,NE,2.0,NE,1.0,ENE,2.0,10.0,10.0,9.0,232.0,,
75,19550315.0,110.0,105.0,88.0,238.0,251.0,260.0,274.0,230.0,208.0,215.0,208.0,95.0,91.0,83.0,Calm,0.0,NE,2.0,Calm,0.0,10.0,9.0,9.0,42.0,,
76,19550316.0,114.0,88.0,94.0,242.0,252.0,260.0,279.0,218.0,225.0,214.0,211.0,97.0,90.0,85.0,E,1.0,NE,1.0,NE,2.0,8.0,10.0,9.0,54.0,,
77,19550317.0,118.0,110.0,102.0,246.0,255.0,252.0,280.0,235.0,216.0,217.0,214.0,94.0,90.0,90.0,Calm,0.0,Calm,0.0,NE,1.0,10.0,10.0,9.0,190.0,,
78,19550318.0,116.0,104.0,94.0,239.0,269.0,261.0,274.0,236.0,209.0,220.0,203.0,95.0,83.0,81.0,Calm,0.0,NE,2.0,ENE,3.0,10.0,10.0,9.0,134.0,,
79,19550319.0,118.0,102.0,96.0,248.0,293.0,260.0,278.0,239.0,215.0,205.0,200.0,92.0,67.0,80.0,Calm,0.0,NE,3.0,Calm,0.0,10.0,8.0,7.0,126.0,,
80,19550320.0,118.0,97.0,88.0,236.0,265.0,252.0,300.0,235.0,203.0,208.0,203.0,94.0,81.0,85.0,NE,1.0,NE,1.0,NE,1.0,10.0,9.0,10.0,6.0,,
81,19550321.0,109.0,97.0,81.0,239.0,278.0,253.0,268.0,235.0,205.0,226.0,204.0,88.0,81.0,85.0,Calm,0.0,Calm,0.0,NE,2.0,9.0,9.0,9.0,46.0,,
82,19550322.0,93.0,89.0,69.0,239.0,272.0,256.0,284.0,228.0,211.0,218.0,218.0,96.0,81.0,90.0,Calm,0.0,E,1.0,NE,1.0,9.0,10.0,9.0,69.0,,
