,Stn,Datum,Tijd,P,qP,T,qT,Tn,qTn,Tx,qTx,U,qU,Ed,qEd,Tw,qTw,D,qD,F,qF,N,qN
177,32,19400214,12.0,759.5,0,26.5,0,—,7,—,7,74,0,19.3,0,23,0,65,0,0.7,0,2,0
178,32,19400214,17.0,759.5,0,26.3,0,—,7,—,7,75,0,19.3,0,22.9,0,45,0,0.6,0,2,0
179,32,19400214,24.0,—,7,—,7,27.4,0,28.5,0,—,7,—,7,—,7,—,7,—,7,—,7
180,32,19400215,7.0,758.7,0,25.9,0,—,7,—,7,77,0,19.3,0,22.8,0,65,0,0.5,0,3,0
181,32,19400215,12.0,760,0,27.4,0,—,7,—,7,70,0,19.2,0,23.2,0,65,0,0.6,0,2,0
182,32,19400215,17.0,759.7,0,26.9,0,—,7,—,7,72,0,19.1,0,23,0,65,0,0.6,0,3,0
183,32,19400215,24.0,—,7,—,7,27,0,29.8,0,—,7,—,7,—,7,—,7,—,7,—,7
184,32,19400216,7.0,759.7,0,27.4,0,—,7,—,7,69,0,18.9,0,23,0,65,0,0.5,0,2,0
185,32,19400216,12.0,759.7,0,28,0,—,7,—,7,67,0,18.9,0,23.2,0,65,0,0.7,0,1,0
186,32,19400216,17.0,758.9,0,27.5,0,—,7,—,7,67,0,18.5,0,22.8,0,45,0,0.7,0,1,0
187,32,19400216,24.0,—,7,—,7,28.7,0,30,0,—,7,—,7,—,7,—,7,—,7,—,7
188,32,19400217,7.0,758.5,0,27.4,0,—,7,—,7,68,0,18.5,0,22.8,0,65,0,0.6,0,1,0
189,32,19400217,12.0,759.2,0,27.9,0,—,7,—,7,67,0,19,0,23.2,0,65,0,0.7,0,0,0
190,32,19400217,17.0,758.9,0,27.9,0,—,7,—,7,65,0,18.3,0,22.8,0,45,0,0.6,0,0,0
191,32,19400217,24.0,—,7,—,7,29,0,30,0,—,7,—,7,—,7,—,7,—,7,—,7
192,32,19400218,7.0,758.4,0,25.3,0,—,7,—,7,81,0,19.6,0,22.8,0,65,0,0.5,0,1,0
193,32,19400218,12.0,759.2,0,27.9,0,—,7,—,7,66,0,18.6,0,23,0,65,0,0.7,0,0,0
194,32,19400218,17.0,758.9,0,27.7,0,—,7,—,7,66,0,18.6,0,22.9,0,65,0,0.6,0,1,0
195,32,19400218,24.0,—,7,—,7,26.4,0,30,0,—,7,—,7,—,7,—,7,—,7,—,7
196,32,19400219,7.0,758.7,0,25.9,0,—,7,—,7,77,0,19.3,0,22.8,0,90,0,0.5,0,1,0
197,32,19400219,12.0,759.2,0,28.7,0,—,7,—,7,67,0,19.8,0,23.9,0,90,0,0.7,0,0,0
198,32,19400219,17.0,758.9,0,27.9,0,—,7,—,7,67,0,18.8,0,23.1,0,90,0,0.7,0,1,0
199,32,19400219,24.0,—,7,—,7,27,0,31.4,0,—,7,—,7,—,7,—,7,—,7,—,7
200,32,19400220,7.0,758.5,0,27.3,0,—,7,—,7,69,0,18.9,0,23,0,65,0,0.5,0,6,0
201,32,19400220,12.0,759.2,0,28.1,0,—,7,—,7,66,0,18.9,0,23.2,0,65,0,0.5,0,7,0
202,32,19400220,17.0,758.5,0,27.9,0,—,7,—,7,66,0,18.6,0,23,0,45,0,0.6,0,7,0
203,32,19400220,24.0,—,7,—,7,29,0,30.6,0,—,7,—,7,—,7,—,7,—,7,—,7
204,32,19400221,7.0,758.5,0,27.5,0,—,7,—,7,68,0,18.8,0,23,0,65,0,0.5,0,5,0
205,32,19400221,12.0,758.7,0,27.7,0,—,7,—,7,68,0,19.1,0,23.2,0,65,0,0.6,0,6,0
206,32,19400221,17.0,758.2,0,26.8,0,—,7,—,7,71,0,18.8,0,22.8,0,65,0,0.5,0,5,0
207,32,19400221,24.0,—,7,—,7,28.5,0,29.4,0,—,7,—,7,—,7,—,7,—,7,—,7
208,32,19400222,7.0,758.5,0,26.5,0,—,7,—,7,72,0,18.6,0,22.6,0,65,0,0.4,0,4,0
209,32,19400222,12.0,758.2,0,27.7,0,—,7,—,7,68,0,19.1,0,23.2,0,65,0,0.5,0,5,0
210,32,19400222,17.0,760,0,26.9,0,—,7,—,7,71,0,18.8,0,22.8,0,45,0,0.5,0,5,0
211,32,19400222,24.0,—,7,—,7,28,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
212,32,19400223,7.0,761,0,25.1,0,—,7,—,7,79,0,19.2,0,22.6,0,65,0,0.4,0,3,0
213,32,19400223,12.0,760.5,0,27.5,0,—,7,—,7,67,0,18.5,0,22.8,0,65,0,0.5,0,3,0
214,32,19400223,17.0,760.7,0,27.3,0,—,7,—,7,68,0,18.6,0,22.8,0,45,0,0.5,0,3,0
215,32,19400223,24.0,—,7,—,7,28,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
216,32,19400224,7.0,760.2,0,25.5,0,—,7,—,7,79,0,19.5,0,22.8,0,65,0,0.4,0,5,0
217,32,19400224,12.0,760.7,0,27.5,0,—,7,—,7,68,0,18.8,0,23,0,65,0,0.5,0,3,0
218,32,19400224,17.0,759.5,0,27.3,0,—,7,—,7,68,0,18.6,0,22.8,0,65,0,0.5,0,3,0
219,32,19400224,24.0,—,7,—,7,27,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
220,32,19400225,7.0,761.2,0,25.1,0,—,7,—,7,82,0,19.7,0,22.8,0,65,0,0.2,0,4,0
221,32,19400225,12.0,760.7,0,27.3,0,—,7,—,7,69,0,18.9,0,23,0,65,0,0.4,0,3,0
222,32,19400225,17.0,760.7,0,26.9,0,—,7,—,7,71,0,18.8,0,22.8,0,65,0,0.5,0,3,0
223,32,19400225,24.0,—,7,—,7,26,0,28.4,0,—,7,—,7,—,7,—,7,—,7,—,7
224,32,19400226,7.0,760.2,0,25,0,—,7,—,7,80,0,19,0,22.4,0,90,0,0.2,0,8,0
225,32,19400226,12.0,761,0,29.5,0,—,7,—,7,63,0,19.6,0,24,0,65,0,0.3,0,5,0
226,32,19400226,17.0,761.2,0,29.1,0,—,7,—,7,66,0,19.8,0,24,0,25,0,0.1,0,8,0
