,Stn,Datum,Tijd,P,qP
784,73,19430919,12.0,760,0
785,73,19430919,16.0,760,0
786,73,19430920,8.0,760,0
787,73,19430920,12.0,760,0
788,73,19430920,16.0,759,0
789,73,19430921,8.0,761,0
790,73,19430921,12.0,761,0
791,73,19430921,16.0,760,0
792,73,19430922,8.0,761,0
793,73,19430922,12.0,761,0
794,73,19430922,16.0,760,0
795,73,19430923,8.0,760,0
796,73,19430923,12.0,759,0
797,73,19430923,16.0,758,0
798,73,19430924,8.0,760,0
799,73,19430924,12.0,760,0
800,73,19430924,16.0,759,0
801,73,19430925,8.0,762,0
802,73,19430925,12.0,763,0
803,73,19430925,16.0,761,0
804,73,19430926,8.0,763,0
805,73,19430926,12.0,762,0
806,73,19430926,16.0,761,0
807,73,19430927,8.0,761,0
808,73,19430927,12.0,762,0
809,73,19430927,16.0,760,0
810,73,19430928,8.0,762,0
811,73,19430928,12.0,762,0
812,73,19430928,16.0,761,0
813,73,19430929,8.0,761,0
814,73,19430929,12.0,761,0
815,73,19430929,16.0,760,0
816,73,19430930,8.0,760,0
817,73,19430930,12.0,759,0
818,73,19430930,16.0,758,0
819,73,19431001,8.0,760,0
820,73,19431001,12.0,759,0
821,73,19431001,16.0,759,0
822,73,19431002,8.0,760,0
823,73,19431002,12.0,760,0
824,73,19431002,16.0,759,0
825,73,19431003,8.0,759,0
826,73,19431003,12.0,760,0
827,73,19431003,16.0,760,0
828,73,19431004,8.0,759,0
829,73,19431004,12.0,759,0
830,73,19431004,16.0,758,0
831,73,19431005,8.0,758,0
832,73,19431005,12.0,759,0
833,73,19431005,16.0,758,0
834,73,19431006,8.0,760,0
835,73,19431006,12.0,760,0
836,73,19431006,16.0,760,0
837,73,19431007,8.0,762,0
838,73,19431007,12.0,761,0
839,73,19431007,16.0,761,0
840,73,19431008,8.0,762,0
841,73,19431008,12.0,761,0
842,73,19431008,16.0,761,0
843,73,19431009,8.0,762,0
844,73,19431009,12.0,762,0
845,73,19431009,16.0,761,0
846,73,19431010,8.0,762,0
847,73,19431010,12.0,761,0
848,73,19431010,16.0,761,0
849,73,19431011,8.0,762,0
850,73,19431011,12.0,761,0
851,73,19431011,16.0,760,0
